name,slug,value,date_of_information,ranking,region
"Turks and Caicos Islands","turks-and-caicos-islands","3.50","2019","128","Central America"
"El Salvador","el-salvador","3.40","2019","129","Central America"
"Ireland","ireland","3.40","2018","130","Europe"
"Mali","mali","3.40","2019","131","Africa"
"Nicaragua","nicaragua","3.40","2019","132","Central America"
"Rwanda","rwanda","3.40","2020","133","Africa"
"San Marino","san-marino","3.40","2019","134","Europe"
"Antigua and Barbuda","antigua-and-barbuda","3.30","2020","135","Central America"
"Guatemala","guatemala","3.30","2020","136","Central America"
"Romania","romania","3.30","2018","137","Europe"
"Afghanistan","afghanistan","3.20","2019","138","South Asia"
"Andorra","andorra","3.20","2019","139","Europe"
"Japan","japan","3.20","2017","140","East Asia/Southeast Asia"
"Philippines","philippines","3.20","2019","141","East Asia/Southeast Asia"
"Qatar","qatar","3.20","2020","142","Middle East"
"Cameroon","cameroon","3.10","2019","143","Africa"
"Macau","macau","3.10","2019","144","East Asia/Southeast Asia"
"Panama","panama","3.10","2019","145","Central America"
"Tanzania","tanzania","3.10","2020","146","Africa"
"Turkmenistan","turkmenistan","3.10","2019","147","Central Asia"
"United Arab Emirates","united-arab-emirates","3.10","2019","148","Middle East"
"Benin","benin","3.00","2019","149","Africa"
"Jordan","jordan","3.00","2019","150","Middle East"
"Thailand","thailand","3.00","2019","151","East Asia/Southeast Asia"
"Uganda","uganda","3.00","2020","152","Africa"
"British Virgin Islands","british-virgin-islands","2.90","2019","153","Central America"
"Gambia, The","gambia-the","2.90","2019","154","Africa"
"Guinea-Bissau","guinea-bissau","2.90","2019","155","Africa"
"Kazakhstan","kazakhstan","2.90","2019","156","Central Asia"
"Laos","laos","2.90","2014","157","East Asia/Southeast Asia"
"Madagascar","madagascar","2.90","2019","158","Africa"
"Malawi","malawi","2.90","2020","159","Africa"
"Gabon","gabon","2.80","2019","160","Africa"
"Indonesia","indonesia","2.80","2019","161","East Asia/Southeast Asia"
"Armenia","armenia","2.70","2020","162","Middle East"
"Azerbaijan","azerbaijan","2.70","2019","163","Middle East"
"Lebanon","lebanon","2.60","2019","164","Middle East"
"Liechtenstein","liechtenstein","2.60","2011","165","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","2.60","2015","166","Central America"
"Bahamas, The","bahamas-the","2.50","2020","167","Central America"
"Comoros","comoros","2.50","2015","168","Africa"
"Pakistan","pakistan","2.50","2019","169","South Asia"
"Singapore","singapore","2.50","2020","170","East Asia/Southeast Asia"
"Chad","chad","2.40","2019","171","Africa"
"Bahrain","bahrain","2.30","2017","172","Middle East"
"Liberia","liberia","2.30","2020","173","Africa"
"Vanuatu","vanuatu","2.30","2020","174","Australia - Oceania"
"Cambodia","cambodia","2.20","2018","175","East Asia/Southeast Asia"
"Guinea","guinea","2.20","2020","176","Africa"
"Sri Lanka","sri-lanka","2.10","2018","177","South Asia"
"Burma","burma","2.00","2019","178","East Asia/Southeast Asia"
"Mauritania","mauritania","1.90","2020","179","Africa"
"Papua New Guinea","papua-new-guinea","1.90","2018","180","East Asia/Southeast Asia"
"Angola","angola","1.80","2019","181","Africa"
"Central African Republic","central-african-republic","1.80","2019","182","Africa"
"Haiti","haiti","1.70","2018","183","Central America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","1.50","2017","184","Africa"
"South Sudan","south-sudan","1.50","2016","185","Africa"
"Bangladesh","bangladesh","1.30","2019","186","South Asia"
"Bermuda","bermuda","1.30","2017","187","North America"
"Venezuela","venezuela","1.30","2017","188","South America"
"Monaco","monaco","1.20","2019","189","Europe"
